Date,Category,Open,High,Low,Close,Adj Close,Volume
19-08-2019,TCS,2180,2186,2157.699951,2163,2030.353638,974884
20-08-2019,TCS,2172,2205,2166.5,2186.75,2052.647705,1843611
21-08-2019,TCS,2184.949951,2202,2182.25,2186.199951,2052.130859,1214408
22-08-2019,TCS,2187,2235.649902,2170,2216,2080.10376,2131601
23-08-2019,TCS,2214.949951,2259.899902,2213.899902,2247.699951,2109.858887,2826425
26-08-2019,TCS,2247,2282,2225,2276.300049,2136.705322,2345475
27-08-2019,TCS,2270,2274.850098,2229,2236.5,2099.34668,3432106
28-08-2019,TCS,2240,2252.149902,2216,2239.25,2101.927734,1294621
29-08-2019,TCS,2222.199951,2248.199951,2222.199951,2233.449951,2096.482666,1670652
30-08-2019,TCS,2241,2266,2218,2259.600098,2121.030029,2583625
03-09-2019,TCS,2270,2296.199951,2236.949951,2251.600098,2113.520508,2545060
04-09-2019,TCS,2265,2270,2233,2245.399902,2107.700195,2228092
05-09-2019,TCS,2242.199951,2253.649902,2207.300049,2215.300049,2079.446289,2055943
06-09-2019,TCS,2216,2233.5,2192.600098,2197.5,2062.738281,1890550
09-09-2019,TCS,2200,2202.850098,2179.800049,2182.850098,2048.986572,1703945
11-09-2019,TCS,2186,2195,2146.550049,2154,2021.905762,2627440
12-09-2019,TCS,2155,2165,2120.350098,2133.600098,2002.756836,2118859
13-09-2019,TCS,2135,2157.949951,2115.550049,2141.949951,2010.594971,2291174
16-09-2019,TCS,2159.949951,2173.399902,2126.399902,2150,2018.151245,2597948
17-09-2019,TCS,2154.949951,2156.550049,2105.600098,2122.649902,1992.478149,2796530
18-09-2019,TCS,2126.399902,2142.949951,2113.149902,2138.550049,2007.403076,1454663
19-09-2019,TCS,2135,2135.800049,2091,2101.949951,1973.047485,1652691
20-09-2019,TCS,2104.899902,2129.399902,2057,2065.449951,1938.785889,6941979
23-09-2019,TCS,2099,2099,1975,2015.800049,1892.180786,6323401
24-09-2019,TCS,2015,2061,2013,2044.699951,1919.308228,4620978
25-09-2019,TCS,2065,2092,2060.050049,2088.449951,1960.375244,4002232
26-09-2019,TCS,2097.899902,2107,2063,2087.600098,1959.577393,4234281
27-09-2019,TCS,2085,2085.199951,2051.399902,2056.149902,1930.056152,2046795
30-09-2019,TCS,2061.850098,2104,2060,2099.300049,1970.559937,2620039
01-10-2019,TCS,2095.949951,2095.949951,2039.699951,2059.949951,1933.623169,3342877
03-10-2019,TCS,2070,2081.149902,2046.150024,2060.25,1933.904663,2317618
04-10-2019,TCS,2060.600098,2087.949951,2054.949951,2079.350098,1951.833862,2163251
07-10-2019,TCS,2080,2094.5,2041,2047.699951,1922.124512,2177916
09-10-2019,TCS,2060,2060,2015.5,2020.099976,1896.217163,2066920
10-10-2019,TCS,2028,2039.050049,1997.099976,2004.449951,1881.526855,2881452
11-10-2019,TCS,1931,1995,1925,1986.849976,1865.005981,12593069
14-10-2019,TCS,1995,2032.75,1968,2021,1897.061768,3510704
15-10-2019,TCS,2032,2047,2022.699951,2037.300049,1912.362183,2261310
16-10-2019,TCS,2038,2056,2016,2046.400024,1920.904297,3034082
17-10-2019,TCS,2014,2038,1999.300049,2030.949951,1944.407959,3818774
18-10-2019,TCS,2037.5,2063.899902,2025,2057.350098,1969.683105,3087901
22-10-2019,TCS,2080,2111.5,2040.050049,2051.399902,1963.98645,5552505
23-10-2019,TCS,2060,2083.850098,2052.5,2070.100098,1981.889893,2348134
24-10-2019,TCS,2084,2099,2061.300049,2082,1993.282959,2798671
